CallerClass,CallerMethod,Permission
android/view/accessibility/AccessibilityNodeInfo,getLabeledBy,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,refresh,android.permission.BACKUP
android/view/accessibility/AccessibilityInteractionClient,findAccessibilityNodeInfosByViewId,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,getTraversalBefore,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,findAccessibilityNodeInfosByViewId,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,findAccessibilityNodeInfosByText,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,performAction,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,performAction,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,getTraversalAfter,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,getLabelFor,android.permission.BACKUP
android/view/accessibility/AccessibilityNodeInfo,getParent,android.permission.BACKUP
jp/co/omronsoft/openwnn/DefaultSoftKeyboard,setPreferences,android.permission.BACKUP
org/chromium/content/common/CleanupReference,cleanupNow,android.permission.BACKUP
org/chromium/content/common/CleanupReference,<init>,android.permission.BACKUP
org/chromium/android_webview/AwContents,destroy,android.permission.BACKUP
org/chromium/base/MemoryPressureListener,handleDebugIntent,android.permission.BACKUP
org/chromium/android_webview/AwContents,capturePicture,android.permission.BACKUP
com/android/server/am/BatteryStatsService,getAwakeTimePlugged,android.permission.BATTERY_STATS
com/android/server/am/BatteryStatsService,getAwakeTimeBattery,android.permission.BATTERY_STATS
com/android/server/am/BatteryStatsService,getStatistics,android.permission.BATTERY_STATS
com/android/server/am/BatteryStatsService,getStatisticsStream,android.permission.BATTERY_STATS
com/android/server/devicepolicy/DevicePolicyManagerService,setActivePasswordState,android.permission.BIND_DEVICE_ADMIN
com/android/server/devicepolicy/DevicePolicyManagerService,reportFailedPasswordAttempt,android.permission.BIND_DEVICE_ADMIN
com/android/server/devicepolicy/DevicePolicyManagerService,getRemoveWarning,android.permission.BIND_DEVICE_ADMIN
com/android/server/devicepolicy/DevicePolicyManagerService,reportSuccessfulPasswordAttempt,android.permission.BIND_DEVICE_ADMIN
com/android/bluetooth/Utils,enforceAdminPermission,android.permission.BLUETOOTH_ADMIN
com/android/server/NetworkScoreService,clearScores,android.permission.BROADCAST_NETWORK_PRIVILEGED
com/android/server/NetworkScoreService,disableScoring,android.permission.BROADCAST_NETWORK_PRIVILEGED
com/android/server/NetworkScoreService,registerNetworkScoreCache,android.permission.BROADCAST_NETWORK_PRIVILEGED
com/android/internal/telephony/PhoneSubInfoController,getCompleteVoiceMailNumberForSubscriber,android.permission.CALL_PRIVILEGED
com/android/internal/telephony/PhoneSubInfo,getCompleteVoiceMailNumber,android.permission.CALL_PRIVILEGED
com/android/internal/telephony/PhoneSubInfoController,getCompleteVoiceMailNumber,android.permission.CALL_PRIVILEGED
com/android/internal/telephony/PhoneSubInfoProxy,getCompleteVoiceMailNumber,android.permission.CALL_PRIVILEGED
android/media/AudioService,forceRemoteSubmixFullVolume,android.permission.CAPTURE_AUDIO_OUTPUT
com/android/server/pm/PackageManagerService,setPackageStoppedState,android.permission.CHANGE_COMPONENT_ENABLED_STATE
com/android/server/pm/PackageManagerService,setApplicationEnabledSetting,android.permission.CHANGE_COMPONENT_ENABLED_STATE
com/android/server/pm/PackageManagerService,setComponentEnabledSetting,android.permission.CHANGE_COMPONENT_ENABLED_STATE
